time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-04-09T21:23:44.054Z,40.9401,37.2677,10,4.2,mb,,29,0.86,1.11,us,us70008ssz,2020-04-10T03:14:27.176Z,"7km N of Kumru, Turkey",earthquake,3.5,1.9,0.086,37,reviewed,us,us
2020-04-09T20:48:26.990Z,44.3933333,-115.1988333,8.4,2.72,ml,13,82,0.899,0.27,mb,mb80401309,2020-04-09T21:07:18.520Z,"68km ESE of Cascade, Idaho",earthquake,0.66,1.55,0.202,16,reviewed,mb,mb
2020-04-09T20:35:29.410Z,18.0053,-66.8248,16,2.54,md,11,159,0.0622,0.21,pr,pr2020100017,2020-04-09T20:48:27.691Z,"1km NNW of Indios, Puerto Rico",earthquake,0.75,1.14,0.25,7,reviewed,pr,pr
2020-04-09T20:10:29.487Z,44.3105,-115.0959,10,3,ml,,64,0.315,0.46,us,us70008sqh,2020-04-10T04:12:54.309Z,"72km WSW of Challis, Idaho",earthquake,1.2,2,0.041,78,reviewed,us,us
2020-04-09T19:59:42.420Z,18.007,-66.8735,11,3.08,md,20,92,0.0324,0.33,pr,pr2020100016,2020-04-10T00:48:15.382Z,"1km WSW of Indios, Puerto Rico",earthquake,0.61,0.66,0.36,16,reviewed,pr,pr
2020-04-09T19:51:36.521Z,36.5658,71.2676,219.59,4.5,mb,,65,2.715,0.73,us,us70008spr,2020-04-09T22:07:36.040Z,"27km WSW of Ashkasham, Afghanistan",earthquake,7.8,7.5,0.041,174,reviewed,us,us
2020-04-09T19:19:50.572Z,44.2616,-115.1108,10,2.5,ml,,68,0.277,0.46,us,us70008snn,2020-04-10T03:22:21.127Z,"75km WSW of Challis, Idaho",earthquake,2,2,0.051,50,reviewed,us,us
2020-04-09T18:41:56.160Z,17.9603,-66.8301,12,2.6,md,14,184,0.0513,0.12,pr,pr2020100015,2020-04-09T19:06:16.710Z,"3km SSW of Indios, Puerto Rico",earthquake,0.55,0.3,0.35,9,reviewed,pr,pr
2020-04-09T18:17:59.199Z,50.7576,-179.9627,10,3.9,mb,,237,0.775,0.76,us,us70008sky,2020-04-09T20:29:03.040Z,"82km SW of Amatignak Island, Alaska",earthquake,10.1,2,0.081,40,reviewed,us,us
2020-04-09T17:56:59.140Z,17.9323,-66.9538,5,2.59,md,8,229,0.086,0.17,pr,pr2020100014,2020-04-09T18:13:06.454Z,"6km SW of Guanica, Puerto Rico",earthquake,0.72,0.54,0.45,8,reviewed,pr,pr
2020-04-09T17:54:18.717Z,32.57,96.2744,10,4.1,mb,,94,5.257,1.25,us,us70008sjv,2020-04-09T20:13:51.040Z,"83km SW of Gyegu, China",earthquake,7.5,1.9,0.12,19,reviewed,us,us
2020-04-09T17:26:26.534Z,-5.3353,68.6633,10,5.4,mww,,40,4.294,0.85,us,us70008sj4,2020-04-10T17:28:33.298Z,"Chagos Archipelago region",earthquake,4,1.8,0.093,11,reviewed,us,us
2020-04-09T16:57:15.601Z,-7.1752,129.2783,145.22,4.6,mb,,50,2.157,0.81,us,us70008shn,2020-04-09T20:26:50.040Z,"240km WNW of Saumlaki, Indonesia",earthquake,7.6,7.5,0.087,45,reviewed,us,us
2020-04-09T16:07:53.372Z,-30.6708,-177.0325,10,5,mb,,76,1.62,0.67,us,us70008sfy,2020-04-09T23:49:04.776Z,"176km SSE of Raoul Island, New Zealand",earthquake,10.6,1.9,0.061,84,reviewed,us,us
2020-04-09T15:50:30.263Z,44.2488,-115.2278,14.83,2.6,ml,,69,0.202,0.75,us,us70008sfg,2020-04-09T23:16:09.193Z,"67km NE of Idaho City, Idaho",earthquake,2.1,6.4,0.043,72,reviewed,us,us
2020-04-09T15:13:52.870Z,17.974,-66.8385,10,2.99,md,20,179,0.0407,0.19,pr,pr2020100013,2020-04-09T16:43:37.040Z,"6km SSW of Indios, Puerto Rico",earthquake,0.4,0.41,0.19,17,reviewed,pr,pr
2020-04-09T14:16:49.832Z,52.7104,-170.5937,112.27,3.9,mb,,179,2.705,1.24,us,us70008sea,2020-04-09T18:15:39.093Z,"11km NE of Yunaska Island, Alaska",earthquake,6.9,15,0.076,46,reviewed,us,us
2020-04-09T14:06:51.736Z,-18.2029,-69.5807,152.75,5.1,mww,,73,0.617,1.16,us,us70008se7,2020-04-09T16:19:54.040Z,"2km WSW of Putre, Chile",earthquake,7.5,6.7,0.08,15,reviewed,us,us
2020-04-09T13:58:34.450Z,17.9428,-66.8463,15,2.8,md,15,191,0.0461,0.24,pr,pr2020100012,2020-04-09T14:38:56.150Z,"6km SSW of Indios, Puerto Rico",earthquake,0.99,0.5,0.2,9,reviewed,pr,pr
2020-04-09T13:31:19.080Z,17.9593,-66.8291,16,2.52,md,8,205,0.0525,0.13,pr,pr2020100011,2020-04-09T13:42:43.196Z,"3km SSW of Indios, Puerto Rico",earthquake,1.08,0.5,0.12,7,reviewed,pr,pr
2020-04-09T13:02:27.828Z,59.7721,-153.1807,102.6,2.9,ml,,,,0.64,ak,ak0204llhtq0,2020-04-09T16:25:04.040Z,"75km W of Anchor Point, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-04-09T12:44:45.010Z,17.8511,-66.8868,6,2.69,md,13,255,0.1242,0.19,pr,pr2020100010,2020-04-09T13:07:18.811Z,"13km S of Guanica, Puerto Rico",earthquake,0.68,0.42,0.17,10,reviewed,pr,pr
2020-04-09T12:20:36.910Z,24.8596,-45.8863,10,5.1,mb,,75,17.367,0.92,us,us70008sc8,2020-04-09T12:37:37.040Z,"Northern Mid-Atlantic Ridge",earthquake,11.3,1.9,0.033,301,reviewed,us,us
2020-04-09T12:11:18.071Z,13.2549,-87.7317,170.43,4.6,mb,,133,0.887,1,us,us70008sc0,2020-04-09T12:42:16.915Z,"9km WSW of Amapala, Honduras",earthquake,8.1,4.9,0.033,274,reviewed,us,us
2020-04-09T11:54:43.675Z,44.3267,-115.1399,9.83,2.8,ml,,48,0.302,0.85,us,us70008sbq,2020-04-09T13:32:26.040Z,"74km WSW of Challis, Idaho",earthquake,4.1,10.4,0.049,54,reviewed,us,us
2020-04-09T10:53:52.460Z,-35.869,-103.8833,10,5,mb,,74,24.315,0.86,us,us70008sb4,2020-04-09T12:42:22.040Z,"Southeast of Easter Island",earthquake,13.6,1.8,0.04,378,reviewed,us,us
2020-04-09T09:43:59.903Z,-24.1872,-67.0642,174.01,5,mb,,34,1.599,1.35,us,us70008sag,2020-04-09T10:02:00.040Z,"75km W of San Antonio de los Cobres, Argentina",earthquake,7.5,6.3,0.032,312,reviewed,us,us
